optimizer,loss,top1,seconds,state_mb,peak_gpu_mb,device,dataset,task,seed,config,lr,target_scale,momentum,thermostat_lr,preset
adamw,0.506356418132782,0.9030652866242038,16.60666858399054,0.8077239990234375,0.0,mps,fashionmnist,vision,0,baseline,,,,,
sgd,0.793857216835022,0.8338972929936306,14.484128707990749,0.40384674072265625,0.0,mps,fashionmnist,vision,0,baseline,,,,,
rmsprop,0.5362995266914368,0.8820660828025477,15.350419000023976,0.8077239990234375,0.0,mps,fashionmnist,vision,0,baseline,,,,,
fanosv2,0.24824756383895874,0.911922770700637,29.3514387079922,0.8076934814453125,0.0,mps,fashionmnist,vision,0,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.37028267979621887,0.9098328025477707,28.438837374997092,0.8076934814453125,0.0,mps,fashionmnist,vision,0,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.5820889472961426,0.9006767515923567,29.419325750001008,0.8076934814453125,0.0,mps,fashionmnist,vision,0,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.38597363233566284,0.9048566878980892,29.92316770798061,0.8076934814453125,0.0,mps,fashionmnist,vision,0,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.10178152471780777,0.900577229299363,15.356723125005374,0.8077239990234375,0.0,mps,fashionmnist,vision,1,baseline,,,,,
sgd,0.3810914158821106,0.8206608280254777,13.92840737500228,0.40384674072265625,0.0,mps,fashionmnist,vision,1,baseline,,,,,
rmsprop,0.2808793783187866,0.8898288216560509,15.916861292003887,0.8077239990234375,0.0,mps,fashionmnist,vision,1,baseline,,,,,
fanosv2,0.04616203159093857,0.8995820063694268,31.166092499974184,0.8076934814453125,0.0,mps,fashionmnist,vision,1,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.08219517022371292,0.9038614649681529,37.32868762497674,0.8076934814453125,0.0,mps,fashionmnist,vision,1,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.23356901109218597,0.8914211783439491,37.085814124991884,0.8076934814453125,0.0,mps,fashionmnist,vision,1,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.11034908145666122,0.8991839171974523,37.43223974999273,0.8076934814453125,0.0,mps,fashionmnist,vision,1,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.27633577585220337,0.9028662420382165,15.436434375005774,0.8077239990234375,0.0,mps,fashionmnist,vision,2,baseline,,,,,
sgd,0.5031639933586121,0.839968152866242,13.368029540986754,0.40384674072265625,0.0,mps,fashionmnist,vision,2,baseline,,,,,
rmsprop,0.16036978363990784,0.894406847133758,15.190599333989667,0.8077239990234375,0.0,mps,fashionmnist,vision,2,baseline,,,,,
fanosv2,0.11562514305114746,0.9030652866242038,37.454768916999456,0.8076934814453125,0.0,mps,fashionmnist,vision,2,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.17470331490039825,0.911922770700637,38.65140237502055,0.8076934814453125,0.0,mps,fashionmnist,vision,2,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.11491939425468445,0.9044585987261147,36.416769374976866,0.8076934814453125,0.0,mps,fashionmnist,vision,2,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.19694116711616516,0.9054538216560509,36.72544629199547,0.8076934814453125,0.0,mps,fashionmnist,vision,2,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.18051980435848236,0.8971934713375797,14.937917000002926,0.8077239990234375,0.0,mps,fashionmnist,vision,3,baseline,,,,,
sgd,0.560163676738739,0.8225517515923567,13.276711250015069,0.40384674072265625,0.0,mps,fashionmnist,vision,3,baseline,,,,,
rmsprop,0.34698939323425293,0.8905254777070064,14.63951429197914,0.8077239990234375,0.0,mps,fashionmnist,vision,3,baseline,,,,,
fanosv2,0.12431781738996506,0.904359076433121,37.31499254098162,0.8076934814453125,0.0,mps,fashionmnist,vision,3,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.09736112505197525,0.9074442675159236,38.82483291599783,0.8076934814453125,0.0,mps,fashionmnist,vision,3,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.2536488175392151,0.8990843949044586,37.08325383401825,0.8076934814453125,0.0,mps,fashionmnist,vision,3,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.23847025632858276,0.9004777070063694,37.320615584001644,0.8076934814453125,0.0,mps,fashionmnist,vision,3,vision_sweep_best,0.001,0.05,0.85,0.003,default
adamw,0.17502176761627197,0.8911226114649682,15.019256999978097,0.8077239990234375,0.0,mps,fashionmnist,vision,4,baseline,,,,,
sgd,0.24242940545082092,0.8395700636942676,13.22727791700163,0.40384674072265625,0.0,mps,fashionmnist,vision,4,baseline,,,,,
rmsprop,0.12500812113285065,0.8921178343949044,14.676390584005276,0.8077239990234375,0.0,mps,fashionmnist,vision,4,baseline,,,,,
fanosv2,0.061243608593940735,0.9088375796178344,36.95987841699389,0.8076934814453125,0.0,mps,fashionmnist,vision,4,low_lr,0.0005,0.1,0.85,0.003,default
fanosv2,0.11148273944854736,0.9087380573248408,37.95668120900518,0.8076934814453125,0.0,mps,fashionmnist,vision,4,auto,0.001,0.1,0.85,0.003,auto
fanosv2,0.031578533351421356,0.8999800955414012,37.03870520798955,0.8076934814453125,0.0,mps,fashionmnist,vision,4,stable,0.001,0.1,0.85,0.003,default
fanosv2,0.09218868613243103,0.9041600318471338,37.33709924999857,0.8076934814453125,0.0,mps,fashionmnist,vision,4,vision_sweep_best,0.001,0.05,0.85,0.003,default
